Timestamp,Open,High,Low,Close,Volume
2020-05-11,187.84,194.85,176.56,185.89,93149.71939269
2020-05-12,185.81,192.42,185.73,189.72,35296.06197153
2020-05-13,189.93,201.41,188.55,200.07,48895.712447
2020-05-14,199.93,206.16,195.53,203.43,73138.86498657
2020-05-15,203.32,204.23,191.3,194.76,51150.16011503
2020-05-16,194.65,203.33,193.21,200.5,46091.7725781
2020-05-17,200.11,209.92,199.44,206.94,31287.16668364
2020-05-18,206.94,216.98,206.94,214.91,69837.38584869
2020-05-19,214.91,215.99,209.31,214.76,45467.94721486
2020-05-20,214.76,215.45,205.57,209.87,49278.09663938
2020-05-21,209.92,211.41,191.31,198.35,67325.61021536
2020-05-22,198.59,209.33,196.21,207.23,50783.14449296
2020-05-23,207.23,211.5,204.68,206.71,26501.7752537
2020-05-24,206.63,210.68,199.5,199.53,50512.88742827
2020-05-25,199.56,205.57,198.03,204.11,22979.48899462
2020-05-26,204.12,204.9,196.51,200.85,35846.28025823
2020-05-27,200.95,208.35,200.81,208.28,30731.34528178
2020-05-28,208.35,220.7,204.66,220.26,64114.14453892
2020-05-29,220.26,224.7,217.67,220.65,61254.99279605
2020-05-30,220.64,247.28,218.7,243.7,87820.52484256
2020-05-31,243.65,245.48,229.5,231.76,69069.62337666
2020-06-01,231.52,251.29,230.56,248.45,104048.36278743
2020-06-02,248.46,253.54,218.48,237.55,104117.64901749
2020-06-03,237.65,245.02,233.47,244.54,60196.18414756
2020-06-04,244.55,246.66,235.54,243.4,59520.24083276
2020-06-05,243.21,247.89,239.04,240.03,37567.20301097
2020-06-06,239.98,244.5,237.67,242.01,24815.09640742
2020-06-07,241.98,245.93,234.37,244.9,73456.75924424
2020-06-08,244.88,247.77,241.2,246.62,31951.41657838
2020-06-09,246.64,249.9,237.78,244.0,43739.90903197
2020-06-10,244.01,250.49,242.22,247.96,47891.77471234
2020-06-11,247.96,250.15,225.71,230.11,86324.91865127
2020-06-12,230.1,239.22,228.01,237.57,36542.89679712
2020-06-13,237.39,238.64,234.62,237.92,18365.8748636
2020-06-14,238.03,238.69,230.0,231.68,33590.14527917
2020-06-15,231.53,233.8,218.1,230.97,79329.94672568
2020-06-16,231.0,236.25,228.78,235.33,37188.87883419
2020-06-17,235.46,237.38,227.71,233.61,36763.82798204
2020-06-18,233.54,234.45,227.55,231.38,20495.01382064
2020-06-19,231.02,232.09,226.26,228.62,30752.26424498
2020-06-20,228.63,230.66,224.6,228.78,20758.06282344
2020-06-21,228.82,231.0,227.1,227.85,15265.99763663
2020-06-22,227.87,246.99,227.27,243.22,75128.99971395
2020-06-23,243.16,245.09,240.85,243.03,41680.92485027
2020-06-24,243.08,249.28,230.73,234.54,79625.78684876
2020-06-25,234.34,235.12,227.33,232.32,46286.4096243
2020-06-26,232.3,233.19,226.86,229.36,44305.22287869
2020-06-27,229.36,230.89,215.9,220.63,60078.3728468
2020-06-28,220.63,227.57,217.8,224.99,37603.27812092
